src,dest,num_children
0,1,32
0,2,32
0,3,32
0,4,32
0,5,32
0,6,32
0,7,32
0,8,32
0,9,32
0,10,32
0,11,32
0,12,32
0,13,32
0,14,32
0,15,32
0,16,32
0,17,32
0,18,32
0,19,32
0,20,32
0,21,32
0,22,32
0,23,32
0,24,32
0,25,32
0,26,32
0,27,32
0,28,32
0,29,32
0,30,32
0,31,32
0,32,32
1,3826,17
1,3827,17
1,3828,17
1,3829,17
1,3830,17
1,3831,17
1,3832,17
1,3833,17
1,3834,17
1,3835,17
1,3836,17
1,3837,17
1,3838,17
1,3839,17
1,3840,17
1,3841,17
1,3842,17
2,3716,24
2,3717,24
2,3718,24
2,3719,24
2,3720,24
2,3721,24
2,3722,24
2,3723,24
2,3724,24
2,3725,24
2,3726,24
2,3727,24
2,3728,24
2,3729,24
2,3730,24
2,3731,24
2,3732,24
2,3733,24
2,3734,24
2,3735,24
2,3736,24
2,3737,24
2,3738,24
2,3739,24
3,3521,17
3,3522,17
3,3523,17
3,3524,17
3,3525,17
3,3526,17
3,3527,17
3,3528,17
3,3529,17
3,3530,17
3,3531,17
3,3532,17
3,3533,17
3,3534,17
3,3535,17
3,3536,17
3,3537,17
4,3258,18
4,3259,18
4,3260,18
4,3261,18
4,3262,18
4,3263,18
4,3264,18
4,3265,18
4,3266,18
4,3267,18
4,3268,18
4,3269,18
4,3270,18
4,3271,18
4,3272,18
4,3273,18
4,3274,18
4,3275,18
5,3054,12
5,3055,12
5,3056,12
5,3057,12
5,3058,12
5,3059,12
5,3060,12
5,3061,12
5,3062,12
5,3063,12
5,3064,12
5,3065,12
6,3033,6
6,3034,6
6,3035,6
6,3036,6
6,3037,6
6,3038,6
7,2806,18
7,2807,18
7,2808,18
7,2809,18
7,2810,18
7,2811,18
7,2812,18
7,2813,18
7,2814,18
7,2815,18
7,2816,18
7,2817,18
7,2818,18
7,2819,18
7,2820,18
7,2821,18
7,2822,18
7,2823,18
8,2643,7
8,2644,7
8,2645,7
8,2646,7
8,2647,7
8,2648,7
8,2649,7
9,2471,12
9,2472,12
9,2473,12
9,2474,12
9,2475,12
9,2476,12
9,2477,12
9,2478,12
9,2479,12
9,2480,12
9,2481,12
9,2482,12
10,2415,3
10,2416,3
10,2417,3
11,2295,15
11,2296,15
11,2297,15
11,2298,15
11,2299,15
11,2300,15
11,2301,15
11,2302,15
11,2303,15
11,2304,15
11,2305,15
11,2306,15
11,2307,15
11,2308,15
11,2309,15
12,1928,24
12,1929,24
12,1930,24
12,1931,24
12,1932,24
12,1933,24
12,1934,24
12,1935,24
12,1936,24
12,1937,24
12,1938,24
12,1939,24
12,1940,24
12,1941,24
12,1942,24
12,1943,24
12,1944,24
12,1945,24
12,1946,24
12,1947,24
12,1948,24
12,1949,24
12,1950,24
12,1951,24
13,1829,12
13,1830,12
13,1831,12
13,1832,12
13,1833,12
13,1834,12
13,1835,12
13,1836,12
13,1837,12
13,1838,12
13,1839,12
13,1840,12
14,1699,19
14,1700,19
14,1701,19
14,1702,19
14,1703,19
14,1704,19
14,1705,19
14,1706,19
14,1707,19
14,1708,19
14,1709,19
14,1710,19
14,1711,19
14,1712,19
14,1713,19
14,1714,19
14,1715,19
14,1716,19
14,1717,19
15,1498,7
15,1499,7
15,1500,7
15,1501,7
15,1502,7
15,1503,7
15,1504,7
16,1342,17
16,1343,17
16,1344,17
16,1345,17
16,1346,17
16,1347,17
16,1348,17
16,1349,17
16,1350,17
16,1351,17
16,1352,17
16,1353,17
16,1354,17
16,1355,17
