src,dest,num_children
0,1,13
0,2,13
0,3,13
0,4,13
0,5,13
0,6,13
0,7,13
0,8,13
0,9,13
0,10,13
0,11,13
0,12,13
0,13,13
1,390,8
1,391,8
1,392,8
1,393,8
1,394,8
1,395,8
1,396,8
1,397,8
2,331,11
2,332,11
2,333,11
2,334,11
2,335,11
2,336,11
2,337,11
2,338,11
2,339,11
2,340,11
2,341,11
3,310,1
4,287,2
4,288,2
5,244,2
5,245,2
6,207,3
6,208,3
6,209,3
7,171,3
7,172,3
7,173,3
8,84,6
8,85,6
8,86,6
8,87,6
8,88,6
8,89,6
9,53,9
9,54,9
9,55,9
9,56,9
9,57,9
9,58,9
9,59,9
9,60,9
9,61,9
10,44,3
10,45,3
10,46,3
11,41,3
11,42,3
11,43,3
12,31,4
12,32,4
12,33,4
12,34,4
13,14,1
14,15,16
14,16,16
14,17,16
14,18,16
14,19,16
14,20,16
14,21,16
14,22,16
14,23,16
14,24,16
14,25,16
14,26,16
14,27,16
14,28,16
14,29,16
14,30,16
33,38,3
33,39,3
33,40,3
34,35,3
34,36,3
34,37,3
44,51,2
44,52,2
46,47,4
46,48,4
46,49,4
46,50,4
53,77,6
53,78,6
53,79,6
53,80,6
53,81,6
53,82,6
54,70,5
54,71,5
54,72,5
54,73,5
54,74,5
56,64,6
56,65,6
56,66,6
56,67,6
56,68,6
56,69,6
60,62,2
60,63,2
70,75,2
70,76,2
79,83,1
84,149,6
84,150,6
84,151,6
84,152,6
84,153,6
84,154,6
85,133,11
85,134,11
85,135,11
85,136,11
85,137,11
85,138,11
85,139,11
85,140,11
85,141,11
85,142,11
85,143,11
86,108,8
86,109,8
86,110,8
86,111,8
86,112,8
86,113,8
86,114,8
86,115,8
87,104,4
87,105,4
87,106,4
87,107,4
88,94,10
88,95,10
88,96,10
88,97,10
88,98,10
88,99,10
88,100,10
88,101,10
88,102,10
88,103,10
89,90,4
89,91,4
89,92,4
89,93,4
108,119,7
108,120,7
108,121,7
108,122,7
108,123,7
108,124,7
108,125,7
110,116,3
110,117,3
110,118,3
121,130,3
121,131,3
121,132,3
123,126,4
123,127,4
123,128,4
123,129,4
136,146,3
136,147,3
136,148,3
138,144,2
138,145,2
149,164,7
149,165,7
149,166,7
149,167,7
149,168,7
149,169,7
149,170,7
150,158,3
150,159,3
150,160,3
154,155,3
154,156,3
154,157,3
158,161,3
158,162,3
158,163,3
171,198,5
171,199,5
171,200,5
171,201,5
171,202,5
172,191,7
172,192,7
172,193,7
172,194,7
172,195,7
172,196,7
172,197,7
173,174,12
173,175,12
173,176,12
173,177,12
173,178,12
173,179,12
173,180,12
173,181,12
173,182,12
173,183,12
173,184,12
173,185,12
175,188,3
175,189,3
175,190,3
178,186,2
178,187,2
198,205,2
198,206,2
199,203,2
199,204,2
207,222,9
207,223,9
207,224,9
207,225,9
207,226,9
207,227,9
207,228,9
207,229,9
207,230,9
208,216,4
208,217,4
208,218,4
208,219,4
209,210,6
209,211,6
209,212,6
209,213,6
209,214,6
209,215,6
217,220,2
217,221,2
223,242,2
223,243,2
224,234,4
224,235,4
224,236,4
224,237,4
225,231,3
225,232,3
225,233,3
234,238,4
234,239,4
234,240,4
234,241,4
244,263,3
244,264,3
244,265,3
245,246,3
245,247,3
245,248,3
246,255,8
246,256,8
246,257,8
246,258,8
246,259,8
246,260,8
246,261,8
246,262,8
247,251,4
247,252,4
247,253,4
247,254,4
248,249,2
248,250,2
263,272,2
263,273,2
264,266,2
264,267,2
266,268,4
266,269,4
266,270,4
266,271,4
272,276,11
272,277,11
272,278,11
272,279,11
272,280,11
272,281,11
272,282,11
272,283,11
272,284,11
272,285,11
272,286,11
273,274,2
273,275,2
287,304,6
287,305,6
287,306,6
287,307,6
287,308,6
287,309,6
288,289,4
288,290,4
288,291,4
288,292,4
289,301,3
289,302,3
289,303,3
290,296,5
290,297,5
290,298,5
290,299,5
290,300,5
291,293,3
291,294,3
291,295,3
310,311,20
310,312,20
310,313,20
310,314,20
310,315,20
310,316,20
310,317,20
310,318,20
310,319,20
310,320,20
310,321,20
310,322,20
310,323,20
310,324,20
310,325,20
310,326,20
310,327,20
310,328,20
310,329,20
310,330,20
331,375,5
331,376,5
331,377,5
331,378,5
331,379,5
332,363,6
332,364,6
332,365,6
332,366,6
332,367,6
332,368,6
333,353,4
333,354,4
333,355,4
333,356,4
335,349,4
335,350,4
335,351,4
335,352,4
337,344,2
337,345,2
339,342,2
339,343,2
344,348,1
345,346,2
345,347,2
354,357,6
354,358,6
354,359,6
354,360,6
354,361,6
354,362,6
363,373,2
363,374,2
364,371,2
364,372,2
366,369,2
366,370,2
375,380,10
375,381,10
375,382,10
375,383,10
375,384,10
375,385,10
375,386,10
375,387,10
375,388,10
375,389,10
390,658,9
390,659,9
390,660,9
390,661,9
390,662,9
390,663,9
390,664,9
390,665,9
390,666,9
391,607,8
391,608,8
391,609,8
391,610,8
391,611,8
391,612,8
391,613,8
391,614,8
392,534,16
392,535,16
392,536,16
392,537,16
392,538,16
392,539,16
392,540,16
392,541,16
392,542,16
392,543,16
392,544,16
392,545,16
392,546,16
392,547,16
392,548,16
392,549,16
393,523,11
393,524,11
393,525,11
393,526,11
393,527,11
393,528,11
393,529,11
393,530,11
393,531,11
393,532,11
393,533,11
394,504,5
394,505,5
394,506,5
394,507,5
394,508,5
395,435,13
395,436,13
395,437,13
395,438,13
395,439,13
395,440,13
395,441,13
395,442,13
395,443,13
395,444,13
395,445,13
395,446,13
395,447,13
396,403,9
396,404,9
396,405,9
396,406,9
396,407,9
396,408,9
396,409,9
396,410,9
396,411,9
397,398,5
397,399,5
397,400,5
397,401,5
397,402,5
403,431,4
403,432,4
403,433,4
403,434,4
404,427,4
404,428,4
404,429,4
404,430,4
405,423,4
405,424,4
405,425,4
405,426,4
406,419,4
406,420,4
406,421,4
406,422,4
407,417,2
407,418,2
409,416,1
410,412,4
410,413,4
410,414,4
410,415,4
435,491,6
435,492,6
435,493,6
435,494,6
435,495,6
435,496,6
436,488,3
436,489,3
436,490,3
437,470,5
437,471,5
437,472,5
437,473,5
437,474,5
439,466,4
439,467,4
439,468,4
439,469,4
440,457,2
440,458,2
443,448,2
443,449,2
448,453,2
448,454,2
449,450,3
449,451,3
449,452,3
453,455,2
453,456,2
457,460,6
457,461,6
457,462,6
457,463,6
457,464,6
457,465,6
458,459,1
470,485,3
470,486,3
470,487,3
471,481,1
472,479,2
472,480,2
474,475,4
474,476,4
474,477,4
474,478,4
481,482,3
481,483,3
481,484,3
491,497,3
491,498,3
491,499,3
497,502,2
497,503,2
499,500,2
499,501,2
504,519,4
504,520,4
504,521,4
504,522,4
506,515,4
506,516,4
506,517,4
506,518,4
507,509,6
507,510,6
507,511,6
507,512,6
507,513,6
507,514,6
535,592,15
535,593,15
535,594,15
535,595,15
535,596,15
535,597,15
535,598,15
535,599,15
535,600,15
535,601,15
535,602,15
535,603,15
535,604,15
535,605,15
535,606,15
536,588,4
536,589,4
536,590,4
536,591,4
537,585,3
537,586,3
537,587,3
538,582,3
538,583,3
538,584,3
539,580,2
539,581,2
542,578,2
542,579,2
543,567,11
543,568,11
543,569,11
543,570,11
543,571,11
543,572,11
543,573,11
543,574,11
543,575,11
543,576,11
543,577,11
544,561,4
544,562,4
544,563,4
544,564,4
547,550,11
547,551,11
547,552,11
547,553,11
547,554,11
547,555,11
547,556,11
547,557,11
547,558,11
547,559,11
547,560,11
562,565,2
562,566,2
607,650,4
607,651,4
607,652,4
607,653,4
608,645,5
608,646,5
608,647,5
608,648,5
608,649,5
609,638,3
609,639,3
609,640,3
610,632,2
610,633,2
611,624,4
611,625,4
611,626,4
611,627,4
612,621,3
612,622,3
612,623,3
613,615,2
613,616,2
616,617,4
616,618,4
616,619,4
616,620,4
624,628,4
624,629,4
624,630,4
624,631,4
632,634,4
632,635,4
632,636,4
632,637,4
638,641,4
638,642,4
638,643,4
638,644,4
650,654,4
650,655,4
650,656,4
650,657,4
